country,type,release_year,total_titles
"Canada, United States",TV Show,2009,1
"Canada, United States",TV Show,2015,1
"Canada, United States",TV Show,2016,1
"Canada, United States",TV Show,2017,1
"Canada, United States",TV Show,2019,1
"Canada, United States",TV Show,2021,1
"Canada, United States, Cayman Islands",Movie,2021,1
"Canada, United States, Denmark",Movie,2014,1
"Canada, United States, France",TV Show,2015,1
"Canada, United States, France",TV Show,2017,1
"Canada, United States, Germany",Movie,2018,1
"Canada, United States, India, United Kingdom",Movie,2010,1
"Canada, United States, Ireland",TV Show,2021,1
"Canada, United States, Mexico",Movie,2015,1
"Canada, United States, United Kingdom",Movie,2015,1
"Canada, United States, United Kingdom",Movie,2020,1
"Canada, United States, United Kingdom, France, Luxembourg",TV Show,2011,1
Chile,Movie,2013,1
Chile,Movie,2015,1
Chile,Movie,2017,1
Chile,Movie,2020,1
Chile,TV Show,2013,1
Chile,TV Show,2015,1
Chile,TV Show,2016,1
"Chile, Argentina",Movie,2018,1
"Chile, Argentina, France, Spain, United States",Movie,2016,1
"Chile, Brazil",Movie,2008,1
"Chile, France",Movie,2016,1
"Chile, Italy",TV Show,2020,1
"Chile, Peru",Movie,2017,1
"Chile, Spain, Argentina, Germany",Movie,2015,1
"Chile, United States, France",Movie,2016,1
China,Movie,2008,1
China,TV Show,2008,1
China,TV Show,2011,1
"China, Canada, United States",Movie,2018,1
"China, Germany, India, United States",Movie,2015,1
"China, Hong Kong",Movie,2005,1
"China, Hong Kong",Movie,2011,1
"China, Hong Kong",Movie,2014,1
"China, Hong Kong",Movie,2015,1
"China, Hong Kong",TV Show,2019,1
"China, Hong Kong, United States",Movie,2016,1
"China, India, Nepal",Movie,2017,1
"China, Japan",Movie,2018,1
"China, Morocco, Hong Kong",Movie,2018,1
"China, South Korea, United States",Movie,2015,1
"China, Spain, South Korea, United States",Movie,2020,1
"China, Taiwan",Movie,2019,1
"China, Taiwan",Movie,2021,1
"China, United Kingdom",Movie,2021,1
"China, United Kingdom",TV Show,2018,1
"China, United Kingdom",TV Show,2019,1
"China, United States",Movie,2016,1
"China, United States",Movie,2020,1
"China, United States, Australia",Movie,2018,1
"China, United States, Canada",Movie,2021,1
"China, United States, United Kingdom",Movie,2018,1
Colombia,Movie,2017,1
Colombia,TV Show,2007,1
Colombia,TV Show,2008,1
Colombia,TV Show,2010,1
Colombia,TV Show,2015,1
Colombia,TV Show,2017,1
Colombia,TV Show,2021,1
"Colombia, Mexico",Movie,2018,1
"Colombia, Mexico, United States",TV Show,2008,1
"Colombia, Mexico, United States",TV Show,2016,1
"Colombia, Peru, United Kingdom",Movie,2018,1
"Colombia, United States",TV Show,2003,1
Croatia,TV Show,2018,1
"Croatia, Slovenia, Serbia, Montenegro",Movie,2015,1
Cyprus,TV Show,2017,1
"Czech Republic, France",Movie,2016,1
"Czech Republic, Slovakia",Movie,2016,1
"Czech Republic, United Kingdom, France",Movie,2009,1
"Czech Republic, United Kingdom, United States",Movie,2017,1
"Czech Republic, United States",Movie,2017,1
"Czech Republic, United States",TV Show,2018,1
Denmark,Movie,2007,1
Denmark,Movie,2016,1
Denmark,Movie,2017,1
Denmark,TV Show,2012,1
Denmark,TV Show,2015,1
Denmark,TV Show,2020,1
"Denmark, Brazil, France, Portugal, Sweden",Movie,2014,1
"Denmark, China",Movie,2016,1
"Denmark, France, Belgium, Italy, Netherlands, United States, United Kingdom",Movie,2019,1
"Denmark, France, Poland",Movie,1989,1
"Denmark, France, United States, Sweden",Movie,2013,1
"Denmark, Germany, Belgium, United Kingdom, France",Movie,2013,1
"Denmark, Germany, Belgium, United Kingdom, France, Sweden",Movie,2013,1
"Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands",Movie,2014,1
"Denmark, Singapore, Canada, United States",TV Show,2019,1
"Denmark, Spain",Movie,2016,1
"Denmark, Sweden, Israel, United States",Movie,2017,1
"Denmark, United Kingdom, South Africa, Sweden, Belgium",Movie,2014,1
"Denmark, United Kingdom, Sweden",Movie,2015,1
"Denmark, United States",Movie,2016,1
"Denmark, Zimbabwe",Movie,2014,1
Egypt,Movie,1954,1
Egypt,Movie,1956,1
Egypt,Movie,1958,1
Egypt,Movie,1963,1
Egypt,Movie,1970,1
Egypt,Movie,1973,1
Egypt,Movie,1979,1
Egypt,Movie,1981,1
Egypt,Movie,1982,1
Egypt,Movie,2005,1
Egypt,Movie,2020,1
Egypt,TV Show,2015,1
Egypt,TV Show,2016,1
Egypt,TV Show,2019,1
Egypt,TV Show,2021,1
"Egypt, Algeria",Movie,1979,1
"Egypt, Austria, United States",Movie,2018,1
"Egypt, Denmark, Germany",Movie,2021,1
"Egypt, France",Movie,1994,1
"Egypt, France",Movie,2016,1
"Egypt, Saudi Arabia",Movie,2019,1
Finland,TV Show,2018,1
"Finland, France",TV Show,2019,1
"Finland, Germany",TV Show,2020,1
"Finland, Germany, Belgium",Movie,2019,1
"Finland, Sweden, Norway, Latvia, Germany",Movie,2016,1
"Finland, United States",Movie,2019,1
France,Movie,1974,1
France,Movie,2008,1
France,Movie,2010,1
France,Movie,2011,1
France,Movie,2012,1
France,TV Show,2002,1
France,TV Show,2004,1
France,TV Show,2009,1
France,TV Show,2011,1
France,TV Show,2012,1
"France, Algeria",Movie,2020,1
"France, Australia, Germany",TV Show,2020,1
"France, Belgium",Movie,2011,1
"France, Belgium",Movie,2014,1
"France, Belgium",Movie,2020,1
"France, Belgium",TV Show,2007,1
"France, Belgium",TV Show,2017,1
"France, Belgium",TV Show,2019,1
"France, Belgium, China, United States",Movie,2017,1
"France, Belgium, Italy",Movie,1991,1
"France, Belgium, Luxembourg, Cambodia,",Movie,2018,1
"France, Belgium, Luxembourg, Romania, Canada, United States",Movie,2018,1
"France, Belgium, Spain",Movie,2013,1
"France, Belgium, United States",Movie,2011,1
"France, Brazil, Spain, Belgium",Movie,2020,1
"France, Canada",Movie,2016,1
"France, Canada",Movie,2017,1
"France, Canada",TV Show,2018,1
"France, Canada, Belgium",Movie,2015,1
"France, Canada, China, Cambodia",Movie,2016,1
"France, Canada, Italy, United States, China",Movie,2015,1
"France, Canada, United States",Movie,2016,1
"France, Canada, United States, Spain",Movie,2014,1
"France, China, Japan, United States",Movie,2018,1
"France, Egypt",Movie,1989,1
"France, Egypt",Movie,1997,1
"France, Egypt",Movie,1999,1
"France, Germany",TV Show,2015,1
"France, Germany, Czech Republic, Belgium",Movie,2016,1
"France, Germany, Switzerland",Movie,2014,1
"France, Iran, United States",Movie,2018,1
"France, Israel, Germany, United States, United Kingdom",Movie,2019,1
"France, Japan",Movie,2017,1
"France, Japan, United States",Movie,2005,1
"France, Japan, United States",TV Show,2000,1
"France, Lebanon",Movie,1982,1
"France, Lebanon, United Kingdom",Movie,2007,1
"France, Luxembourg, Canada",Movie,2019,1
"France, Luxembourg, United States",Movie,2018,1
"France, Malta, United States",Movie,2015,1
"France, Morocco",Movie,2015,1
"France, Netherlands, Singapore",Movie,2019,1
"France, Netherlands, South Africa, Finland",Movie,2017,1
"France, New Zealand",Movie,2019,1
"France, Norway, Lebanon, Belgium",Movie,1999,1
"France, Qatar",Movie,2016,1
"France, Senegal, Belgium",Movie,2019,1
"France, South Korea, Japan",Movie,2016,1
"France, South Korea, Japan, United States",TV Show,2019,1
"France, Switzerland, Spain, United States, United Arab Emirates",Movie,2009,1
"France, United Kingdom",TV Show,2019,1
"France, United Kingdom, India",Movie,1993,1
"France, United Kingdom, United States",Movie,2010,1
"France, United Kingdom, United States",TV Show,2016,1
"France, United States",Movie,1992,1
"France, United States",Movie,2002,1
"France, United States",Movie,2010,1
"France, United States",Movie,2012,1
"France, United States",Movie,2019,1
"France, United States",Movie,2021,1
"France, United States, Canada",TV Show,2015,1
"France, United States, Mexico",Movie,2006,1
"France, United States, United Kingdom, Canada",Movie,2016,1
Georgia,Movie,2018,1
"Georgia, Germany, France",Movie,2017,1
Germany,Movie,2006,1
Germany,Movie,2007,1
Germany,Movie,2008,1
Germany,Movie,2021,1
Germany,TV Show,2016,1
Germany,TV Show,2017,1
"Germany, Australia",Movie,2017,1
"Germany, Australia, France, China",TV Show,2015,1
"Germany, Belgium",Movie,2017,1
"Germany, Canada, United States",Movie,2001,1
"Germany, China, United Kingdom",Movie,2020,1
"Germany, Czech Republic",Movie,2021,1
"Germany, Czech Republic",TV Show,2020,1
"Germany, France",Movie,2020,1
"Germany, France, Luxembourg, United Kingdom, United States",Movie,2015,1
"Germany, France, Russia",TV Show,2017,1
"Germany, France, United States, Canada, United Kingdom",Movie,2010,1
"Germany, Italy",Movie,2017,1
"Germany, Jordan, Netherlands",Movie,2016,1
"Germany, Sri Lanka",Movie,2010,1
"Germany, United Kingdom",Movie,2014,1
"Germany, United Kingdom",Movie,2017,1
"Germany, United Kingdom, United States",Movie,2008,1
"Germany, United States",Movie,2000,1
"Germany, United States",Movie,2005,1
"Germany, United States",Movie,2007,1
"Germany, United States",Movie,2021,1
"Germany, United States",TV Show,2020,1
"Germany, United States, Canada",Movie,2005,1
"Germany, United States, France",Movie,2009,1
"Germany, United States, Hong Kong, Singapore",Movie,2012,1
"Germany, United States, Italy",TV Show,2014,1
"Germany, United States, Sweden",Movie,2018,1
"Germany, United States, United Kingdom, Canada",Movie,2000,1
Ghana,Movie,2017,1
Ghana,Movie,2018,1
Ghana,Movie,2019,1
"Ghana, United States",Movie,2018,1
"Greece, United States",Movie,2017,1
Guatemala,Movie,2017,1
Hong Kong,Movie,1973,1
Hong Kong,Movie,1975,1
Hong Kong,Movie,1981,1
Hong Kong,Movie,1988,1
Hong Kong,Movie,1989,1
Hong Kong,Movie,1990,1
Hong Kong,Movie,1994,1
Hong Kong,Movie,1997,1
Hong Kong,Movie,2001,1
Hong Kong,Movie,2002,1
Hong Kong,Movie,2008,1
Hong Kong,Movie,2011,1
Hong Kong,Movie,2015,1
Hong Kong,TV Show,2017,1
Hong Kong,TV Show,2018,1
Hong Kong,TV Show,2019,1
"Hong Kong, Canada, United States",Movie,2016,1
"Hong Kong, China",Movie,1986,1
"Hong Kong, China",Movie,1997,1
"Hong Kong, China",Movie,2004,1
"Hong Kong, China",Movie,2006,1
"Hong Kong, China",Movie,2007,1
"Hong Kong, China",Movie,2008,1
"Hong Kong, China",Movie,2010,1
"Hong Kong, China",Movie,2011,1
"Hong Kong, China",Movie,2014,1
"Hong Kong, China",Movie,2017,1
"Hong Kong, China",Movie,2018,1
"Hong Kong, China",Movie,2019,1
"Hong Kong, China, Singapore",Movie,2010,1
"Hong Kong, China, United States",Movie,2004,1
"Hong Kong, China, United States",Movie,2015,1
"Hong Kong, Iceland, United States",Movie,2018,1
"Hong Kong, Taiwan",Movie,2007,1
"Hong Kong, United States",Movie,1973,1
"Hong Kong, United States",Movie,2007,1
"Hong Kong, United States",Movie,2014,1
"Hong Kong, United States",Movie,2018,1
Hungary,Movie,2016,1
Hungary,Movie,2017,1
Hungary,Movie,2018,1
Hungary,Movie,2019,1
"Hungary, United States",Movie,2021,1
Iceland,Movie,2017,1
Iceland,Movie,2020,1
Iceland,TV Show,2015,1
Iceland,TV Show,2020,1
Iceland,TV Show,2021,1
"Iceland, Sweden, Belgium",Movie,2018,1
India,Movie,1959,1
India,Movie,1962,1
India,Movie,1964,1
India,Movie,1966,1
India,Movie,1969,1
India,Movie,1978,1
India,Movie,1981,1
India,Movie,1984,1
India,Movie,1987,1
India,Movie,1992,1
India,TV Show,2009,1
India,TV Show,2011,1
India,TV Show,2016,1
"India, Australia",Movie,2010,1
"India, Canada",Movie,2014,1
"India, France",Movie,2003,1
"India, France",Movie,2014,1
"India, France",Movie,2015,1
"India, France",Movie,2017,1
"India, France",Movie,2018,1
"India, Germany",Movie,2011,1
"India, Germany",Movie,2015,1
"India, Germany, Austria",Movie,2018,1
"India, Germany, France",TV Show,2010,1
"India, Iran",Movie,2018,1
"India, Japan",Movie,2010,1
"India, Malaysia",Movie,1960,1
"India, Mexico",Movie,2017,1
"India, Nepal",Movie,2018,1
"India, Pakistan",Movie,2010,1
"India, Soviet Union",Movie,1984,1
"India, Soviet Union",Movie,1991,1
"India, Switzerland",Movie,2013,1
"India, Turkey",Movie,2019,1
"India, United Kingdom",Movie,2001,1
"India, United Kingdom",Movie,2016,1
"India, United Kingdom, Canada, United States",Movie,2019,1
"India, United Kingdom, China, Canada, Japan, South Korea, United States",Movie,2019,1
"India, United Kingdom, France, Qatar",Movie,2021,1
"India, United States",Movie,2008,1
"India, United States",Movie,2010,1
"India, United States",Movie,2016,1
"India, United States",Movie,2017,1
"India, United States",Movie,2018,1
"India, United States",Movie,2019,1
"India, United States",Movie,2021,1
"India, United States",TV Show,2019,1
Indonesia,Movie,2002,1
Indonesia,Movie,2003,1
Indonesia,Movie,2005,1
Indonesia,Movie,2012,1
Indonesia,Movie,2014,1
Indonesia,TV Show,2015,1
Indonesia,TV Show,2020,1
"Indonesia, Netherlands",Movie,2017,1
"Indonesia, Singapore",Movie,2012,1
"Indonesia, Singapore",Movie,2018,1
"Indonesia, South Korea, Singapore",Movie,2018,1
"Indonesia, United Kingdom",Movie,2020,1
"Indonesia, United States",Movie,2018,1
"Iran, France",Movie,2011,1
Ireland,Movie,2015,1
Ireland,TV Show,2016,1
"Ireland, Canada",Movie,2018,1
"Ireland, Canada, Luxembourg, United States, United Kingdom, Philippines, India",Movie,2017,1
"Ireland, Canada, United Kingdom, United States",Movie,2015,1
"Ireland, Canada, United States, United Kingdom",TV Show,2010,1
"Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",Movie,2019,1
"Ireland, Luxembourg, Belgium",Movie,2018,1
"Ireland, South Africa",Movie,2016,1
"Ireland, Switzerland, United Kingdom, France, United States",Movie,2018,1
"Ireland, United Kingdom",Movie,2016,1
"Ireland, United Kingdom",Movie,2017,1
"Ireland, United Kingdom, France, Germany",Movie,1998,1
"Ireland, United Kingdom, Greece, France, Netherlands",Movie,2015,1
"Ireland, United Kingdom, Italy, United States",Movie,2016,1
"Ireland, United Kingdom, United States",Movie,1989,1
"Ireland, United Kingdom, United States",TV Show,2016,1
"Ireland, United States",Movie,2011,1
"Ireland, United States, France",Movie,2018,1
"Ireland, United States, United Kingdom",TV Show,2016,1
Israel,Movie,2012,1
Israel,Movie,2014,1
Israel,Movie,2016,1
Israel,TV Show,2015,1
Israel,TV Show,2016,1
Israel,TV Show,2018,1
Israel,TV Show,2020,1
"Israel, Germany",Movie,2017,1
"Israel, Germany, France",Movie,2016,1
"Israel, Germany, Poland, Luxembourg, Belgium, France, United States",Movie,2013,1
"Israel, Sweden, Germany, Netherlands",Movie,2015,1
"Israel, United States",Movie,2015,1
"Israel, United States",Movie,2018,1
"Israel, United States",Movie,2019,1
"Israel, United States",TV Show,2020,1
"Israel, United States",TV Show,2021,1
Italy,Movie,1955,1
Italy,Movie,2013,1
Italy,TV Show,2015,1
Italy,TV Show,2017,1
Italy,TV Show,2019,1
"Italy, Belgium",Movie,2019,1
"Italy, Brazil, Greece",Movie,2021,1
"Italy, Canada, France",TV Show,2011,1
"Italy, France",Movie,1955,1
"Italy, France",Movie,2013,1
"Italy, France",Movie,2015,1
"Italy, France",Movie,2016,1
"Italy, France",Movie,2019,1
"Italy, France, Switzerland",Movie,2017,1
"Italy, Germany",TV Show,2016,1
"Italy, India",Movie,2016,1
"Italy, South Africa, West Germany, Australia, United States",TV Show,1986,1
"Italy, Switzerland, Albania, Poland",Movie,2018,1
"Italy, Switzerland, France, Germany",Movie,2018,1
"Italy, Turkey",Movie,2017,1
"Italy, United Kingdom",TV Show,2021,1
"Italy, United Kingdom, France",TV Show,2019,1
"Italy, United States",Movie,1968,1
"Italy, United States",Movie,1984,1
"Italy, United States",Movie,2017,1
"Italy, United States",TV Show,2017,1
"Italy, United States, Argentina",Movie,2017,1
"Jamaica, United States",Movie,2018,1
Japan,Movie,1979,1
Japan,Movie,1997,1
Japan,Movie,1998,1
Japan,Movie,2001,1
Japan,Movie,2005,1
Japan,Movie,2006,1
Japan,Movie,2007,1
Japan,Movie,2009,1
Japan,TV Show,1981,1
Japan,TV Show,1986,1
Japan,TV Show,1995,1
Japan,TV Show,1998,1
Japan,TV Show,1999,1
Japan,TV Show,2000,1
Japan,TV Show,2001,1
Japan,TV Show,2002,1
Japan,TV Show,2005,1
Japan,TV Show,2007,1
"Japan, Canada",TV Show,2015,1
"Japan, Canada, United States",TV Show,2018,1
"Japan, United States",Movie,2010,1
"Japan, United States",Movie,2015,1
"Japan, United States",Movie,2017,1
"Japan, United States",Movie,2018,1
"Japan, United States",Movie,2019,1
"Japan, United States",Movie,2020,1
"Japan, United States",TV Show,2015,1
"Japan, United States",TV Show,2019,1
"Japan, United States",TV Show,2020,1
Jordan,TV Show,2019,1
Jordan,TV Show,2021,1
Kenya,Movie,2018,1
Kenya,Movie,2019,1
Kenya,Movie,2020,1
"Kenya, United States",Movie,2014,1
Kuwait,Movie,1981,1
Kuwait,Movie,2018,1
"Kuwait, United States",Movie,2017,1
Lebanon,Movie,1975,1
Lebanon,Movie,2005,1
Lebanon,Movie,2013,1
Lebanon,Movie,2018,1
Lebanon,TV Show,2017,1
Lebanon,TV Show,2020,1
"Lebanon, Canada, France",Movie,1979,1
"Lebanon, Canada, France",Movie,1980,1
"Lebanon, France",Movie,2003,1
"Lebanon, Palestine, Denmark, Qatar",Movie,2019,1
"Lebanon, Qatar",Movie,2015,1
"Lebanon, Syria",Movie,2019,1
"Lebanon, United Arab Emirates",Movie,2012,1
"Lebanon, United Arab Emirates, France, Switzerland, Germany",Movie,2014,1
"Lebanon, United States, United Arab Emirates",Movie,2012,1
Luxembourg,TV Show,2019,1
Malaysia,Movie,2004,1
Malaysia,Movie,2006,1
Malaysia,Movie,2009,1
Malaysia,Movie,2013,1
Malaysia,Movie,2014,1
Malaysia,Movie,2016,1
Malaysia,Movie,2019,1
Malaysia,Movie,2020,1
Malaysia,TV Show,2003,1
Malaysia,TV Show,2011,1
Malaysia,TV Show,2015,1
"Malaysia, Singapore, Hong Kong",TV Show,2015,1
Mauritius,Movie,2021,1
"Mauritius, South Africa",TV Show,2019,1
Mexico,Movie,1991,1
Mexico,Movie,1992,1
Mexico,Movie,1999,1
Mexico,Movie,2001,1
Mexico,Movie,2007,1
Mexico,Movie,2013,1
Mexico,TV Show,1979,1
Mexico,TV Show,2013,1
Mexico,TV Show,2015,1
"Mexico, Argentina",Movie,2018,1
"Mexico, Brazil",Movie,2021,1
"Mexico, Finland",Movie,2019,1
"Mexico, France",Movie,2015,1
"Mexico, France, Colombia",Movie,2021,1
"Mexico, Netherlands",Movie,2018,1
"Mexico, Spain",Movie,2006,1
"Mexico, Spain",Movie,2016,1
"Mexico, Spain",Movie,2020,1
"Mexico, Spain",TV Show,2020,1
"Mexico, United States",Movie,2010,1
"Mexico, United States",Movie,2016,1
"Mexico, United States",Movie,2018,1
"Mexico, United States",TV Show,2014,1
"Mexico, United States",TV Show,2021,1
"Mexico, United States, Spain, Colombia",TV Show,2019,1
Mozambique,Movie,2019,1
Namibia,Movie,2019,1
Netherlands,Movie,2006,1
Netherlands,Movie,2016,1
Netherlands,Movie,2017,1
Netherlands,Movie,2019,1
Netherlands,TV Show,2017,1
Netherlands,TV Show,2019,1
"Netherlands, Belgium",Movie,2016,1
"Netherlands, Belgium",Movie,2018,1
"Netherlands, Belgium, Germany, Jordan",Movie,2016,1
"Netherlands, Belgium, United Kingdom, United States",Movie,2015,1
"Netherlands, Denmark, France, Germany",Movie,2016,1
"Netherlands, Denmark, South Africa",Movie,2015,1
"Netherlands, Germany, Denmark, United Kingdom",Movie,2017,1
"Netherlands, Germany, Italy, Canada",TV Show,2017,1
"Netherlands, United States",Movie,2017,1
New Zealand,Movie,2021,1
New Zealand,TV Show,2018,1
New Zealand,TV Show,2019,1
"New Zealand, Australia, France, United States",Movie,1993,1
"New Zealand, United Kingdom",Movie,2017,1
"New Zealand, United Kingdom, Australia",Movie,2007,1
"New Zealand, United States",Movie,2002,1
"New Zealand, United States",Movie,2003,1
Nigeria,Movie,2003,1
Nigeria,Movie,2009,1
Nigeria,Movie,2010,1
Nigeria,Movie,2012,1
Nigeria,TV Show,2013,1
Nigeria,TV Show,2015,1
Nigeria,TV Show,2016,1
"Nigeria, United Kingdom",Movie,2012,1
Norway,Movie,2013,1
Norway,Movie,2018,1
Norway,TV Show,2007,1
Norway,TV Show,2016,1
"Norway, Denmark",TV Show,2021,1
"Norway, Denmark, Netherlands, Sweden",Movie,2018,1
"Norway, Denmark, Sweden",Movie,2014,1
"Norway, Germany",Movie,2016,1
"Norway, Germany, Sweden",TV Show,2017,1
"Norway, Sweden",TV Show,2019,1
"Norway, United Kingdom, France, Ireland",Movie,2014,1
"Norway, United States",TV Show,2014,1
Pakistan,Movie,2013,1
Pakistan,TV Show,2011,1
Pakistan,TV Show,2012,1
Pakistan,TV Show,2014,1
Pakistan,TV Show,2017,1
"Pakistan, Norway, United States",Movie,2014,1
"Pakistan, United Arab Emirates",Movie,2018,1
"Pakistan, United States",Movie,2015,1
"Pakistan, United States",Movie,2020,1
"Paraguay, Argentina",Movie,2018,1
Peru,Movie,2015,1
Peru,Movie,2018,1
"Peru, Germany, Norway",Movie,2017,1
"Peru, United States, United Kingdom",Movie,2016,1
Philippines,Movie,2006,1
Philippines,Movie,2007,1
Philippines,Movie,2009,1
Philippines,Movie,2010,1
Philippines,Movie,2011,1
Philippines,TV Show,2017,1
Philippines,TV Show,2020,1
"Philippines, Canada, United Kingdom, United States",Movie,2012,1
"Philippines, Qatar",Movie,2016,1
"Philippines, Singapore",Movie,2019,1
"Philippines, Singapore, Indonesia",TV Show,2021,1
"Philippines, United States",Movie,2019,1
Poland,Movie,1967,1
Poland,Movie,1970,1
Poland,Movie,1973,1
Poland,Movie,1978,1
Poland,Movie,1982,1
Poland,Movie,1983,1
Poland,Movie,1990,1
Poland,Movie,2018,1
Poland,Movie,2019,1
Poland,TV Show,2014,1
Poland,TV Show,2015,1
Poland,TV Show,2019,1
Poland,TV Show,2020,1
"Poland,",Movie,1975,1
"Poland, United States",Movie,2018,1
"Poland, United States",Movie,2019,1
"Poland, United States",TV Show,2018,1
"Poland, United States",TV Show,2020,1
"Poland, West Germany",Movie,1985,1
"Portugal, France, Poland, United States",Movie,2016,1
"Portugal, Spain",Movie,2016,1
"Portugal, Spain",Movie,2020,1
"Portugal, United States",Movie,2020,1
"Puerto Rico, United States, Colombia",TV Show,2018,1
Romania,Movie,2005,1
Romania,Movie,2014,1
Romania,Movie,2015,1
Romania,Movie,2016,1
"Romania, Bulgaria, Hungary",Movie,2015,1
"Romania, France, Switzerland, Germany",Movie,2010,1
"Romania, United Kingdom",Movie,2018,1
"Romania, United States",Movie,2019,1
Russia,Movie,2013,1
Russia,TV Show,2014,1
Russia,TV Show,2016,1
Russia,TV Show,2020,1
"Russia, Poland, Serbia",Movie,2018,1
"Russia, Spain",Movie,2015,1
"Russia, United States",Movie,2021,1
"Russia, United States, China",Movie,2015,1
Saudi Arabia,Movie,2008,1
Saudi Arabia,Movie,2016,1
Saudi Arabia,Movie,2021,1
Saudi Arabia,TV Show,2013,1
Saudi Arabia,TV Show,2014,1
Saudi Arabia,TV Show,2020,1
"Saudi Arabia, Netherlands, Germany, Jordan, United Arab Emirates, United States",Movie,2012,1
"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",TV Show,2017,1
"Saudi Arabia, United Arab Emirates",Movie,2006,1
Senegal,TV Show,2019,1
"Serbia, South Korea, Slovenia",Movie,2016,1
"Serbia, United States",Movie,2017,1
"Serbia, United States",Movie,2019,1
Singapore,Movie,2011,1
Singapore,Movie,2012,1
Singapore,Movie,2014,1
Singapore,Movie,2015,1
Singapore,Movie,2018,1
Singapore,Movie,2020,1
Singapore,TV Show,2013,1
Singapore,TV Show,2015,1
"Singapore, France",Movie,2016,1
"Singapore, Japan, France",Movie,2018,1
"Singapore, Malaysia",Movie,2019,1
"Singapore, United States",Movie,2017,1
"Singapore, United States",TV Show,2019,1
"Slovenia, Croatia, Germany, Czech Republic, Qatar",Movie,2016,1
"Somalia, Kenya, Sudan, South Africa, United States",Movie,2017,1
South Africa,Movie,2010,1
South Africa,TV Show,2017,1
South Africa,TV Show,2019,1
South Africa,TV Show,2021,1
"South Africa, Angola",Movie,2020,1
"South Africa, China, United States",Movie,2017,1
"South Africa, Germany, Netherlands, France",Movie,2017,1
"South Africa, Nigeria",Movie,2017,1
"South Africa, United States",Movie,2002,1
"South Africa, United States",Movie,2018,1
"South Africa, United States, Germany",Movie,2016,1
"South Africa, United States, Japan",Movie,2012,1
"South Africa, United States, New Zealand, Canada",Movie,2009,1
South Korea,Movie,2004,1
South Korea,Movie,2012,1
South Korea,Movie,2015,1
South Korea,TV Show,2011,1
"South Korea, Canada, United States, China",TV Show,2016,1
"South Korea, China",TV Show,2016,1
"South Korea, China, United States",Movie,2015,1
"South Korea, Czech Republic",Movie,2013,1
"South Korea, France",TV Show,2016,1
"South Korea, Japan",Movie,2018,1
"South Korea, United States",Movie,2009,1
"South Korea, United States",Movie,2017,1
"South Korea, United States",Movie,2019,1
